material,type,index,name,attribution_mpnn,attribution,sign,smiles,predicted_score,task
4PAHBAP,atom,11,atom_11,-0.2393057942390442,-0.2393057942390442,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,12,atom_12,-0.1681103408336639,-0.1681103408336639,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,13,atom_13,-0.0275647155940532,-0.0275647155940532,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,14,atom_14,0.0027508735656738,0.0027508735656738,positive,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,15,atom_15,-0.757339596748352,-0.757339596748352,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,16,atom_16,-0.757339596748352,-0.757339596748352,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,17,atom_17,0.0027508735656738,0.0027508735656738,positive,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,18,atom_18,-0.0275647155940532,-0.0275647155940532,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,19,atom_19,-0.1681103408336639,-0.1681103408336639,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,20,atom_20,-0.2393057942390442,-0.2393057942390442,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,21,atom_21,-0.0470918491482734,-0.0470918491482734,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,atom,22,atom_22,-0.2591823935508728,-0.2591823935508728,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,extra_feature,0,Alkyl,,-0.5078728795051575,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,extra_feature,1,TailSym,,-0.8940187692642212,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,extra_feature,2,TailPlanarity,,2.1864876747131348,positive,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,extra_feature,3,NumHAcceptors,,-1.9106539487838743,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,extra_feature,4,NumHDonors,,-0.0310417972505092,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
4PAHBAP,extra_feature,5,TPSA,,-0.800881564617157,negative,O=P(O)(O)CCCCN1c2ccccc2CCc2ccccc21,5.521777153015137,PCE
